DateTime,Open,High,Low,Close,Volume,OpenInterest
2015-02-12,97.70000,98.21000,92.31000,93.24000,0,0
2015-02-13,93.22000,95.09000,91.90000,92.74000,0,0
2015-02-17,95.21000,95.36000,92.26000,92.95000,0,0
2015-02-18,94.21000,95.06000,88.68000,89.38000,0,0
2015-02-19,90.20000,90.43000,86.64000,87.60000,0,0
2015-02-20,88.86000,89.65000,85.36000,85.78000,0,0
2015-02-23,87.87000,88.50000,85.25000,86.13000,0,0
2015-02-24,85.43000,85.62000,80.88000,82.65000,0,0
2015-02-25,83.27000,88.22000,81.73000,86.57000,0,0
2015-02-26,85.97000,89.62000,84.66000,86.93000,0,0
2015-02-27,87.37000,87.67000,84.47000,85.23000,0,0
2015-03-02,87.47000,87.52000,81.83000,81.84000,0,0
2015-03-03,82.63000,86.62000,82.07000,85.05000,0,0
2015-03-04,86.52000,89.50000,84.03000,84.10000,0,0
2015-03-05,84.30000,84.41000,81.06000,81.26000,0,0
2015-03-06,82.73000,88.32000,81.20000,86.88000,0,0
2015-03-09,88.75000,88.92000,85.08000,85.55000,0,0
2015-03-10,89.46000,92.40000,88.73000,91.89000,0,0
2015-03-11,93.98000,97.61000,93.89000,97.28000,0,0
2015-03-12,94.63000,95.00000,88.78000,89.48000,0,0
2015-03-13,89.46000,96.02000,88.50000,93.12000,0,0
2015-03-16,92.24000,93.04000,89.64000,90.54000,0,0
2015-03-17,91.10000,91.25000,86.82000,88.25000,0,0
2015-03-18,88.64000,89.65000,80.23000,81.22000,0,0
2015-03-19,82.55000,83.43000,80.33000,81.61000,0,0
2015-03-20,79.48000,80.86000,77.70000,80.48000,0,0
2015-03-23,81.05000,81.41000,78.37000,79.98000,0,0
2015-03-24,78.81000,80.68000,77.03000,80.04000,0,0
2015-03-25,78.76000,84.43000,78.75000,83.52000,0,0
2015-03-26,87.11000,88.65000,82.86000,87.03000,0,0
2015-03-27,86.88000,88.05000,86.22000,86.50000,0,0
2015-03-30,85.72000,85.78000,81.81000,82.16000,0,0
2015-03-31,82.67000,84.38000,81.50000,84.01000,0,0
2015-04-01,84.18000,87.79000,82.76000,82.82000,0,0
2015-04-02,82.39000,83.08000,80.03000,80.20000,0,0
2015-04-06,83.87000,83.95000,79.90000,80.30000,0,0
2015-04-07,80.33000,80.33000,78.98000,79.70000,0,0
2015-04-08,85.73000,86.49000,83.70000,84.76000,0,0
2015-04-09,84.20000,86.00000,80.59000,80.70000,0,0
2015-04-10,80.14000,80.66000,78.26000,78.91000,0,0
2015-04-13,79.18000,85.78000,78.94000,83.80000,0,0
2015-04-14,83.47000,85.15000,81.23000,81.91000,0,0
2015-04-15,81.68000,82.10000,79.48000,79.83000,0,0
2015-04-16,80.23000,81.19000,78.70000,79.78000,0,0
2015-04-17,82.85000,89.00000,82.27000,85.97000,0,0
2015-04-20,84.44000,84.44000,79.67000,81.48000,0,0
2015-04-21,80.67000,82.83000,79.81000,81.29000,0,0
2015-04-22,81.25000,83.04000,79.56000,79.70000,0,0
2015-04-23,80.56000,80.59000,77.61000,78.17000,0,0
2015-04-24,78.00000,78.93000,76.20000,76.43000,0,0
2015-04-27,76.51000,82.26000,76.48000,81.22000,0,0
2015-04-28,82.07000,85.42000,77.63000,77.68000,0,0
2015-04-29,80.30000,84.81000,79.44000,82.27000,0,0
2015-04-30,83.08000,88.55000,82.20000,87.08000,0,0
2015-05-01,84.54000,85.04000,79.56000,79.64000,0,0
2015-05-04,80.79000,81.18000,78.56000,78.56000,0,0
2015-05-05,80.36000,84.75000,80.06000,84.45000,0,0
2015-05-06,82.20000,95.72000,82.20000,90.80000,0,0
2015-05-07,90.45000,93.70000,89.18000,89.21000,0,0
2015-05-08,83.92000,84.36000,78.62000,79.44000,0,0
2015-05-11,80.94000,83.11000,78.23000,83.11000,0,0
2015-05-12,84.37000,85.81000,82.47000,84.64000,0,0
2015-05-13,86.52000,87.56000,84.09000,84.45000,0,0
2015-05-14,83.39000,83.86000,80.17000,82.34000,0,0
2015-05-15,81.37000,83.28000,80.83000,80.93000,0,0
2015-05-18,82.29000,82.36000,80.59000,82.06000,0,0
2015-05-19,81.45000,82.91000,77.11000,77.53000,0,0
2015-05-20,77.83000,79.83000,75.34000,77.03000,0,0
2015-05-21,77.72000,77.94000,72.62000,73.18000,0,0
2015-05-22,73.06000,76.41000,72.20000,75.98000,0,0
