DateTime,contango,d4,d3,d2,d1,unch,u1,u2,u3,u4,hr_d4,hr_d3,hr_d2,hr_d1,hr_unch,hr_u1,hr_u2,hr_u3,hr_u4
2012-11-28,1.8,1,1,1,1,1,1,1,0,0,0.2,0.4,0.6,0.6,0.6,0.6,0.4,0.2,0.2
2012-11-29,1.75,0,0,0,0,1,1,1,1,0,0.2,0.4,0.6,0.6,0.6,0.8,0.6,0.4,0.2
2012-11-30,1.6,0,0,0,1,1,0,0,0,0,0.2,0.4,0.6,0.8,0.8,0.6,0.4,0.2,0.0
2012-12-03,1.3,0,0,0,1,1,1,1,0,0,0.2,0.2,0.4,0.8,1.0,0.8,0.6,0.2,0.0
2012-12-04,1.4,0,0,0,1,1,1,0,0,0,0.2,0.2,0.2,0.8,1.0,0.8,0.6,0.2,0.0
2012-12-05,1.25,0,0,1,1,1,1,1,0,0,0.0,0.0,0.2,0.8,1.0,0.8,0.6,0.2,0.0
2012-12-06,1.25,0,0,0,1,1,1,0,0,0,0.0,0.0,0.2,1.0,1.0,0.8,0.4,0.0,0.0
2012-12-07,1.25,0,0,0,1,1,1,1,0,0,0.0,0.0,0.2,1.0,1.0,1.0,0.6,0.0,0.0
2012-12-10,1.05,0,0,0,0,1,1,0,0,0,0.0,0.0,0.2,0.8,1.0,1.0,0.4,0.0,0.0
2012-12-11,0.95,0,0,0,0,0,1,1,1,0,0.0,0.0,0.2,0.6,0.8,1.0,0.6,0.2,0.0
2012-12-12,1.05,0,0,0,0,1,1,1,0,0,0.0,0.0,0.0,0.4,0.8,1.0,0.6,0.2,0.0
2012-12-13,0.75,1,1,1,1,0,0,0,0,0,0.2,0.2,0.2,0.4,0.6,0.8,0.6,0.2,0.0
2012-12-14,0.35,0,0,0,1,1,0,0,0,0,0.2,0.2,0.2,0.4,0.6,0.6,0.4,0.2,0.0
2012-12-17,0.3,0,0,0,0,0,1,1,1,0,0.2,0.2,0.2,0.4,0.4,0.6,0.6,0.4,0.0
2012-12-18,0.6,0,0,0,0,1,1,1,1,1,0.2,0.2,0.2,0.4,0.6,0.6,0.6,0.4,0.2
2012-12-19,0.8,0,0,1,1,1,1,0,0,0,0.2,0.2,0.4,0.6,0.6,0.6,0.4,0.4,0.2
2012-12-20,0.65,0,0,0,1,1,1,0,0,0,0.0,0.0,0.2,0.6,0.8,0.8,0.4,0.4,0.2
2012-12-21,0.3,1,1,1,1,0,0,0,0,0,0.2,0.2,0.4,0.6,0.6,0.8,0.4,0.4,0.2
2012-12-24,0.3,0,0,0,1,0,0,0,0,0,0.2,0.2,0.4,0.8,0.6,0.6,0.2,0.2,0.2
2012-12-26,0.05,0,0,1,1,1,1,0,0,0,0.2,0.2,0.6,1.0,0.6,0.6,0.0,0.0,0.0
2012-12-27,0.3,1,1,1,1,1,1,0,0,0,0.4,0.4,0.6,1.0,0.6,0.6,0.0,0.0,0.0
2012-12-28,-0.4,0,0,1,1,1,0,0,0,0,0.4,0.4,0.8,1.0,0.6,0.4,0.0,0.0,0.0
2012-12-31,0.8,0,0,0,0,0,1,1,1,1,0.2,0.2,0.6,0.8,0.6,0.6,0.2,0.2,0.2
2013-01-02,1.15,0,0,0,0,0,1,1,1,1,0.2,0.2,0.6,0.6,0.6,0.8,0.4,0.4,0.4
2013-01-03,1.05,0,0,0,1,1,1,0,0,0,0.2,0.2,0.4,0.6,0.6,0.8,0.4,0.4,0.4
2013-01-04,1.4,0,0,0,0,1,1,0,0,0,0.0,0.0,0.2,0.4,0.6,0.8,0.4,0.4,0.4
2013-01-07,1.7,0,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.4,0.4,0.8,0.4,0.4,0.4
