DateTime,Open,High,Low,Close
2007-04-20,1486.25,1492.5,1484.5,1489.25
2007-04-23,1492.25,1494.75,1487.0,1489.25
2007-04-24,1489.75,1491.25,1480.25,1488.5
2007-04-25,1491.75,1500.75,1488.0,1500.0
2007-04-26,1504.0,1505.0,1497.25,1502.75
2007-04-27,1500.75,1503.75,1494.5,1502.75
2007-04-30,1503.25,1505.0,1495.0,1496.0
2007-05-01,1491.0,1493.0,1482.25,1492.0
2007-05-02,1494.75,1504.75,1492.75,1503.0
2007-05-03,1501.25,1509.0,1500.5,1508.5
2007-05-04,1514.25,1517.0,1507.0,1509.5
2007-05-07,1514.25,1516.75,1512.5,1515.0
2007-05-08,1509.5,1513.25,1505.75,1511.25
2007-05-09,1509.5,1519.0,1507.75,1516.75
2007-05-10,1512.25,1513.75,1497.75,1501.75
2007-05-11,1500.25,1509.5,1500.0,1506.5
2007-05-14,1512.0,1516.25,1502.75,1505.0
2007-05-15,1504.75,1519.75,1504.75,1508.25
2007-05-16,1510.75,1515.75,1506.0,1514.75
2007-05-17,1517.25,1520.75,1513.0,1520.0
2007-05-18,1520.5,1527.0,1519.25,1524.0
2007-05-21,1528.5,1534.0,1526.5,1532.0
2007-05-22,1530.0,1533.25,1525.25,1531.25
2007-05-23,1531.25,1535.75,1524.75,1529.25
2007-05-24,1524.25,1532.5,1510.5,1511.5
2007-05-25,1515.75,1520.5,1512.0,1517.5
2007-05-28,1517.0,1518.5,1516.75,1518.25
2007-05-29,1520.75,1524.5,1514.25,1517.25
2007-05-30,1515.25,1529.75,1512.5,1529.0
2007-05-31,1536.5,1538.0,1530.25,1534.0
2007-06-01,1536.25,1543.0,1533.75,1537.0
2007-06-04,1535.5,1540.0,1533.25,1538.25
2007-06-05,1535.5,1537.5,1527.0,1530.25
2007-06-06,1525.75,1527.5,1515.25,1518.75
2007-06-07,1529.25,1532.75,1508.5,1514.25
2007-06-08,1505.0,1519.0,1502.25,1517.0
2007-06-11,1522.5,1531.25,1518.5,1528.5
2007-06-12,1520.75,1527.0,1512.0,1518.25
2007-06-13,1512.0,1527.5,1506.0,1527.0
2007-06-14,1533.75,1542.0,1529.0,1538.75
2007-06-15,1544.0,1554.0,1543.0,1550.0
2007-06-18,1550.75,1552.25,1543.75,1547.75
2007-06-19,1542.75,1550.75,1540.5,1545.5
2007-06-20,1553.75,1553.75,1535.25,1538.25
2007-06-21,1524.25,1537.0,1518.0,1532.5
2007-06-22,1529.25,1533.0,1514.25,1521.0
2007-06-25,1520.0,1528.0,1506.5,1508.75
2007-06-26,1516.75,1519.5,1504.25,1505.25
2007-06-27,1496.25,1514.75,1492.0,1512.75
2007-06-28,1519.0,1528.0,1515.5,1523.0
2007-06-29,1516.25,1530.25,1513.0,1516.25
2007-07-02,1520.25,1530.25,1519.75,1529.0
2007-07-03,1535.5,1537.75,1532.5,1536.25
2007-07-04,1537.5,1539.5,1537.0,1539.0
2007-07-05,1539.25,1540.0,1528.5,1535.25
2007-07-06,1537.0,1542.5,1531.25,1541.5
2007-07-09,1544.25,1545.25,1538.0,1544.75
2007-07-10,1537.0,1538.25,1524.0,1526.75
2007-07-11,1519.75,1530.0,1516.0,1522.75
2007-07-12,1535.25,1549.75,1534.0,1549.25
2007-07-13,1558.75,1565.75,1555.0,1564.75
2007-07-16,1560.5,1566.25,1556.5,1561.0
2007-07-17,1559.25,1565.5,1557.25,1564.75
2007-07-18,1551.25,1558.0,1542.5,1547.75
2007-07-19,1560.25,1565.0,1557.25,1560.25
2007-07-20,1556.5,1559.5,1537.25,1548.25
2007-07-23,1548.25,1556.25,1547.5,1552.75
2007-07-24,1544.25,1544.5,1528.5,1528.75
2007-07-25,1529.0,1532.25,1510.5,1519.75
2007-07-26,1511.75,1514.75,1471.0,1479.0
2007-07-27,1478.75,1495.75,1468.5,1485.25
2007-07-30,1462.75,1479.75,1460.0,1478.5
2007-07-31,1494.5,1495.75,1470.0,1474.0
2007-08-01,1454.5,1469.75,1445.5,1450.0
2007-08-02,1473.5,1480.0,1466.0,1468.5
2007-08-03,1483.75,1483.75,1455.5,1458.25
2007-08-06,1447.5,1461.0,1432.25,1456.75
2007-08-07,1468.75,1482.5,1460.75,1481.25
2007-08-08,1489.25,1510.5,1487.5,1500.25
2007-08-09,1487.0,1493.5,1466.5,1467.0
2007-08-10,1442.5,1468.5,1435.0,1448.0
2007-08-13,1465.75,1472.5,1459.0,1464.75
2007-08-14,1459.25,1462.75,1433.5,1437.0
2007-08-15,1426.5,1447.0,1423.5,1427.25
2007-08-16,1398.75,1410.0,1374.5,1399.0
2007-08-17,1446.25,1461.0,1425.25,1443.25
2007-08-20,1454.25,1455.75,1434.5,1446.5
2007-08-21,1451.25,1460.0,1443.25,1450.75
2007-08-22,1460.25,1467.25,1454.5,1461.0
2007-08-23,1477.0,1478.0,1457.0,1462.0
2007-08-24,1464.75,1480.75,1463.75,1480.5
2007-08-27,1479.5,1480.25,1470.5,1474.5
2007-08-28,1463.5,1464.5,1444.75,1446.25
2007-08-29,1444.0,1456.5,1439.0,1453.75
