Date,Price
2019/06/28,1414.46
2019/07/01,1387.71
2019/07/02,1386.89
2019/07/03,1424.58
2019/07/04,1414.13
2019/07/05,1414.47
2019/07/08,1398.54
2019/07/09,1390.76
2019/07/10,1390.74
2019/07/11,1420.24
2019/07/12,1404.95
2019/07/15,1410.98
2019/07/16,1411.58
2019/07/17,1402.07
2019/07/18,1421.05
2019/07/19,1439.02
2019/07/22,1424.08
2019/07/23,1416.4
2019/07/24,1417.99
2019/07/25,1421.66
2019/07/26,1414.04
2019/07/29,1417.71
2019/07/30,1422.12
2019/07/31,1427.15
2019/08/01,1406.24
2019/08/02,1433.37
2019/08/05,1447.14
2019/08/06,1462.68
2019/08/07,1481.71
2019/08/08,1496.75
2019/08/09,1501.63
2019/08/12,1493.87
2019/08/13,1514.88
2019/08/14,1497.32
2019/08/15,1515.62
2019/08/16,1517.11
2019/08/19,1504.91
2019/08/20,1493.96
2019/08/21,1500.15
2019/08/22,1498.15
2019/08/23,1493.09
2019/08/26,1535.63
2019/08/27,1526.88
2019/08/28,1536.4
2019/08/29,1539.94
2019/08/30,1523.92
2019/09/02,1522.13
2019/09/03,1523.59
2019/09/04,1540.21
2019/09/05,1543.71
2019/09/06,1511.57
2019/09/09,1505.97
2019/09/10,1489.17
2019/09/11,1488.46
2019/09/12,1494.45
2019/09/13,1497.1
2019/09/16,1502.84
2019/09/17,1495.34
2019/09/18,1499.41
2019/09/19,1491.29
2019/09/20,1499.7
2019/09/23,1513.64
2019/09/24,1518.81
2019/09/25,1527.76
2019/09/26,1505.48
2019/09/27,1500.96
2019/09/30,1490.43
2019/10/01,1463.8
2019/10/02,1476.53
2019/10/03,1497.12
2019/10/04,1505.55
2019/10/07,1502.71
2019/10/08,1489.68
2019/10/09,1503.78
2019/10/10,1506.95
2019/10/11,1494.44
2019/10/14,1484.72
2019/10/15,1490.61
2019/10/16,1480.5
2019/10/17,1486.71
2019/10/18,1488.56
2019/10/21,1488
2019/10/22,1482.38
2019/10/23,1487.31
2019/10/24,1489.11
2019/10/25,1501.09
2019/10/28,1502.55
2019/10/29,1489.71
2019/10/30,1486.1
2019/10/31,1495.3
2019/11/01,1508.77
2019/11/04,1509.49
2019/11/05,1503.19
2019/11/06,1482.97
2019/11/07,1486.8
2019/11/08,1466.53
2019/11/11,1459.86
2019/11/12,1451.75
2019/11/13,1456.71
2019/11/14,1462.11
2019/11/15,1463.9
2019/11/18,1462.78
2019/11/19,1468.5
2019/11/20,1472.19
2019/11/21,1469.92
2019/11/22,1462.89
2019/11/25,1457.59
2019/11/26,1452.26
2019/11/27,1456.96
2019/11/28,1454
2019/11/29,1454.58
2019/12/02,1456.92
2019/12/03,1459.54
2019/12/04,1476.67
2019/12/05,1473.08
2019/12/06,1472.54
2019/12/09,1458.07
2019/12/10,1458.92
2019/12/11,1461.62
2019/12/12,1471.85
2019/12/13,1465.65
2019/12/16,1472.71
2019/12/17,1473.7
2019/12/18,1473.97
2019/12/19,1473.51
2019/12/20,1475.98
2019/12/23,1478.44
2019/12/24,1485.73
2019/12/25,1496.21
2019/12/26,1499.29
2019/12/27,1508.14
2019/12/30,1511.46
2019/12/31,1518.35
2020/01/01,1514.39
2020/01/02,1517.04
2020/01/03,1534.88
2020/01/06,1572.72
2020/01/07,1559.35
2020/01/08,1590.04
2020/01/09,1549.77
2020/01/10,1547.01
2020/01/13,1553.58
2020/01/14,1538.89
2020/01/15,1547.97
2020/01/16,1552.48
2020/01/17,1551.24
2020/01/20,1556.58
2020/01/21,1561.55
2020/01/22,1551.32
2020/01/23,1555.79
2020/01/24,1558.16
2020/01/28,1577.81
2020/01/29,1563.93
2020/01/30,1576.5
2020/01/31,1571.18
2020/02/03,1578.56
2020/02/04,1571.29
2020/02/05,1553.47
2020/02/06,1553.67
2020/02/07,1563.78
2020/02/10,1569.19
2020/02/11,1566.76
2020/02/12,1563.81
2020/02/13,1569.43
2020/02/14,1572.8
2020/02/17,1579.29
2020/02/18,1583.2
2020/02/19,1600.35
2020/02/20,1606.6
2020/02/21,1624
2020/02/24,1664.25
2020/02/25,1649.63
2020/02/26,1640.24
2020/02/27,1645.16
2020/02/28,1635.77
2020/03/02,1593.94
